"filename", "language", "HTML", "TypeScript", "PostCSS", "SCSS", "comment", "blank", "total"
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\Interceptors\custom-http.interceptor.spec.ts", "TypeScript", 0, 13, 0, 0, 0, 4, 17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\Interceptors\custom-http.interceptor.ts", "TypeScript", 0, 30, 0, 0, 0, 6, 36
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\RouteGuards\redirect-to-login.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 5, 17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\RouteGuards\redirect-to-login.service.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app-routing.module.ts", "TypeScript", 0, 52, 0, 0, 0, 3, 55
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.css", "PostCSS", 0, 0, 31, 0, 16, 9, 56
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.html", "HTML", 3, 0, 0, 0, 0, 3, 6
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.spec.ts", "TypeScript", 0, 25, 0, 0, 0, 5, 30
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.ts", "TypeScript", 0, 21, 0, 0, 1, 7, 29
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.module.ts", "TypeScript", 0, 159, 0, 0, 0, 4, 163
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\my-app\my-app.component.css", "PostCSS", 0, 0, 15, 0, 0, 2, 17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\my-app\my-app.component.html", "HTML", 41, 0, 0, 0, 5, 10, 56
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\my-app\my-app.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\my-app\my-app.component.ts", "TypeScript", 0, 68, 0, 0, 1, 15, 84
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-delete-dialog\users-delete-dialog.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-delete-dialog\users-delete-dialog.component.html", "HTML", 9, 0, 0, 0, 0, 1, 10
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-delete-dialog\users-delete-dialog.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-delete-dialog\users-delete-dialog.component.ts", "TypeScript", 0, 19, 0, 0, 0, 5, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-update-dialog\users-update-dialog.component.css", "PostCSS", 0, 0, 0, 0, 0, 2, 2
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-update-dialog\users-update-dialog.component.html", "HTML", 30, 0, 0, 0, 0, 1, 31
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-update-dialog\users-update-dialog.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users-update-dialog\users-update-dialog.component.ts", "TypeScript", 0, 20, 0, 0, 0, 4, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users.component.css", "PostCSS", 0, 0, 4, 0, 0, 1, 5
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users.component.html", "HTML", 58, 0, 0, 0, 8, 13, 79
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Admin\users\users.component.ts", "TypeScript", 0, 119, 0, 0, 1, 25, 145
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.html", "HTML", 15, 0, 0, 0, 0, 1, 16
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.ts", "TypeScript", 0, 39, 0, 0, 0, 8, 47
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.css", "PostCSS", 0, 0, 29, 0, 0, 5, 34
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.html", "HTML", 16, 0, 0, 0, 0, 1, 17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.ts", "TypeScript", 0, 11, 0, 0, 0, 4, 15
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-days\food-days.component.css", "PostCSS", 0, 0, 59, 0, 0, 16, 75
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-days\food-days.component.html", "HTML", 24, 0, 0, 0, 0, 3, 27
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-days\food-days.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-days\food-days.component.ts", "TypeScript", 0, 33, 0, 0, 0, 7, 40
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-dto.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-dto.ts", "TypeScript", 0, 15, 0, 0, 0, 3, 18
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list-start\food-record-list-start.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list-start\food-record-list-start.component.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\food\food-record-list-start\food-record-list-start.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
