"filename", "language", "TypeScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app-routing.module.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.css", "PostCSS", 0, 0, 1, 0, 0, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.module.ts", "TypeScript", 20, 0, 0, 0, 0, 20
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.css", "PostCSS", 0, 0, 29, 0, 5, 34
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.html", "HTML", 0, 19, 0, 0, 1, 20
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.ts", "TypeScript", 48, 0, 0, 0, 9, 57
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.css", "PostCSS", 0, 0, -29, 0, -5, -34
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.html", "HTML", 0, -16, 0, 0, -1, -17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.spec.ts", "TypeScript", -18, 0, 0, 0, -6, -24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.ts", "TypeScript", -11, 0, 0, 0, -4, -15
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail-list.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail-list.component.html", "HTML", 0, 28, 0, 0, 4, 32
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail-list.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail-list.component.ts", "TypeScript", 104, 0, 0, 0, 20, 124
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-create-dialog\mail-create-dialog.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-create-dialog\mail-create-dialog.component.html", "HTML", 0, 29, 0, 0, 1, 30
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-create-dialog\mail-create-dialog.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-create-dialog\mail-create-dialog.component.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-delete-dialog\mail-delete-dialog.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-delete-dialog\mail-delete-dialog.component.html", "HTML", 0, 9, 0, 0, 1, 10
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-delete-dialog\mail-delete-dialog.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-delete-dialog\mail-delete-dialog.component.ts", "TypeScript", 19, 0, 0, 0, 4, 23
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-update-dialog\mail-update-dialog.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-update-dialog\mail-update-dialog.component.html", "HTML", 0, 29, 0, 0, 1, 30
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-update-dialog\mail-update-dialog.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-update-dialog\mail-update-dialog.component.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail.component.html", "HTML", 0, 28, 0, 0, 2, 30
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail.component.ts", "TypeScript", 39, 0, 0, 3, 7, 49
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-request.spec.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-request.ts", "TypeScript", 16, 0, 0, 0, 2, 18
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-template-dto.spec.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-template-dto.ts", "TypeScript", 17, 0, 0, 0, 2, 19
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mails.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mails.component.html", "HTML", 0, 3, 0, 0, 1, 4
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mails.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mails.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\reports\reports.component.css", "PostCSS", 0, 0, 4, 0, 1, 5
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\reports\reports.component.html", "HTML", 0, 43, 0, 0, 6, 49
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\reports\reports.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\reports\reports.component.ts", "TypeScript", 68, 0, 0, 6, 10, 84
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.css", "PostCSS", 0, 0, 3, 0, -1, 2
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.html", "HTML", 0, 2, 0, 0, 0, 2
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.ts", "TypeScript", 2, 0, 0, 0, 0, 2
