Date : 2023-07-02 17:06:12
Directory : c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src
Total : 76 files,  1196 codes, 9 comments, 237 blanks, all 1442 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         43 |        876 |          9 |        192 |      1,077 |
| HTML       |         14 |        258 |          0 |         24 |        282 |
| PostCSS    |         19 |         62 |          0 |         21 |         83 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |         76 |      1,196 |          9 |        237 |      1,442 |
| . (Files)                                                                                                                                             |          1 |          7 |          0 |          2 |          9 |
| app                                                                                                                                                   |         75 |      1,189 |          9 |        235 |      1,433 |
| app (Files)                                                                                                                                           |          3 |         29 |          0 |          0 |         29 |
| app\logged-in                                                                                                                                         |         48 |        780 |          9 |        145 |        934 |
| app\logged-in (Files)                                                                                                                                 |          1 |          2 |          0 |          0 |          2 |
| app\logged-in\Medic                                                                                                                                   |          9 |         44 |          0 |          6 |         50 |
| app\logged-in\Medic\my-patients                                                                                                                       |          5 |        118 |          0 |         22 |        140 |
| app\logged-in\Medic\my-patients (Files)                                                                                                               |          1 |          4 |          0 |          1 |          5 |
| app\logged-in\Medic\my-patients\patient                                                                                                               |          4 |        114 |          0 |         21 |        135 |
| app\logged-in\Medic\patient                                                                                                                           |          4 |        -74 |          0 |        -16 |        -90 |
| app\logged-in\User                                                                                                                                    |         32 |        624 |          9 |        125 |        758 |
| app\logged-in\User\mails                                                                                                                              |         28 |        491 |          3 |        102 |        596 |
| app\logged-in\User\mails (Files)                                                                                                                      |          8 |         74 |          0 |         19 |         93 |
| app\logged-in\User\mails\mail-list                                                                                                                    |         20 |        417 |          3 |         83 |        503 |
| app\logged-in\User\mails\mail-list (Files)                                                                                                            |          4 |        150 |          0 |         31 |        181 |
| app\logged-in\User\mails\mail-list\mail                                                                                                               |         16 |        267 |          3 |         52 |        322 |
| app\logged-in\User\mails\mail-list\mail (Files)                                                                                                       |          4 |         85 |          3 |         16 |        104 |
| app\logged-in\User\mails\mail-list\mail\mail-create-dialog                                                                                            |          4 |         68 |          0 |         12 |         80 |
| app\logged-in\User\mails\mail-list\mail\mail-delete-dialog                                                                                            |          4 |         46 |          0 |         12 |         58 |
| app\logged-in\User\mails\mail-list\mail\mail-update-dialog                                                                                            |          4 |         68 |          0 |         12 |         80 |
| app\logged-in\User\reports                                                                                                                            |          4 |        133 |          6 |         23 |        162 |
| app\logged-in\header                                                                                                                                  |          2 |          5 |          0 |         -1 |          4 |
| app\logged-in\report-notifications                                                                                                                    |          4 |        105 |          0 |         15 |        120 |
| app\presentation                                                                                                                                      |         14 |        240 |          0 |         46 |        286 |
| app\presentation (Files)                                                                                                                              |          1 |          8 |          0 |          1 |          9 |
| app\presentation\login                                                                                                                                |          6 |        104 |          0 |         23 |        127 |
| app\presentation\login (Files)                                                                                                                        |          2 |         56 |          0 |         10 |         66 |
| app\presentation\login\forgot-password-dialog                                                                                                         |          4 |         48 |          0 |         13 |         61 |
| app\presentation\presentation-choices                                                                                                                 |          1 |          9 |          0 |          2 |         11 |
| app\presentation\presentation-content                                                                                                                 |          2 |         14 |          0 |          2 |         16 |
| app\presentation\reset-password                                                                                                                       |          4 |        105 |          0 |         18 |        123 |
| app\services                                                                                                                                          |          8 |        114 |          0 |         33 |        147 |
| app\services (Files)                                                                                                                                  |          1 |          8 |          0 |          2 |         10 |
| app\services\Food                                                                                                                                     |          1 |          4 |          0 |          1 |          5 |
| app\services\Glucose                                                                                                                                  |          1 |         -3 |          0 |         -4 |         -7 |
| app\services\Mails                                                                                                                                    |          2 |         68 |          0 |         22 |         90 |
| app\services\Reports                                                                                                                                  |          2 |         33 |          0 |         11 |         44 |
| app\services\Users                                                                                                                                    |          1 |          4 |          0 |          1 |          5 |
| app\shared                                                                                                                                            |          2 |         26 |          0 |         11 |         37 |
| app\shared\Date                                                                                                                                       |          2 |         26 |          0 |         11 |         37 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app-routing.module.ts                                                                       | TypeScript |          8 |          0 |          0 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.component.css                                                                           | PostCSS    |          1 |          0 |          0 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\app.module.ts                                                                               | TypeScript |         20 |          0 |          0 |         20 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\my-patients.component.ts                                        | TypeScript |          4 |          0 |          1 |          5 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.css                                   | PostCSS    |         29 |          0 |          5 |         34 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.html                                  | HTML       |         19 |          0 |          1 |         20 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.spec.ts                               | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\my-patients\patient\patient.component.ts                                    | TypeScript |         48 |          0 |          9 |         57 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\Medic\patient\patient.component.css                                               | PostCSS    |        -29 |          0 |         -5 |        -34 |
