Date : 2023-07-02 17:06:12
Directory : c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src
Total : 258 files,  5679 codes, 126 comments, 1242 blanks, all 7047 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        155 |      3,832 |         23 |        896 |      4,751 |
| HTML       |         50 |      1,368 |         13 |        185 |      1,566 |
| PostCSS    |         50 |        454 |         90 |        150 |        694 |
| SCSS       |          3 |         25 |          0 |         11 |         36 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                               |        258 |      5,679 |        126 |      1,242 |      7,047 |
| . (Files)                                                                                                                                                                                       |          3 |         48 |          7 |         12 |         67 |
| app                                                                                                                                                                                             |        255 |      5,631 |        119 |      1,230 |      6,980 |
| app (Files)                                                                                                                                                                                     |          6 |        320 |         17 |         31 |        368 |
| app\Interceptors                                                                                                                                                                                |          2 |         43 |          0 |         10 |         53 |
| app\RouteGuards                                                                                                                                                                                 |          2 |         26 |          0 |         10 |         36 |
| app\logged-in                                                                                                                                                                                   |        162 |      3,445 |         66 |        727 |      4,238 |
| app\logged-in (Files)                                                                                                                                                                           |          4 |         39 |          0 |         14 |         53 |
| app\logged-in\Admin                                                                                                                                                                             |         16 |        455 |         15 |        104 |        574 |
| app\logged-in\Admin\my-app                                                                                                                                                                      |          4 |        142 |          6 |         33 |        181 |
| app\logged-in\Admin\users                                                                                                                                                                       |         12 |        313 |          9 |         71 |        393 |
| app\logged-in\Admin\users (Files)                                                                                                                                                               |          4 |        199 |          9 |         45 |        253 |
| app\logged-in\Admin\users\users-delete-dialog                                                                                                                                                   |          4 |         46 |          0 |         13 |         59 |
| app\logged-in\Admin\users\users-update-dialog                                                                                                                                                   |          4 |         68 |          0 |         13 |         81 |
| app\logged-in\Medic                                                                                                                                                                             |          8 |        190 |          0 |         38 |        228 |
| app\logged-in\Medic\my-patients                                                                                                                                                                 |          8 |        190 |          0 |         38 |        228 |
| app\logged-in\Medic\my-patients (Files)                                                                                                                                                         |          4 |         76 |          0 |         17 |         93 |
| app\logged-in\Medic\my-patients\patient                                                                                                                                                         |          4 |        114 |          0 |         21 |        135 |
| app\logged-in\User                                                                                                                                                                              |        118 |      2,352 |         51 |        496 |      2,899 |
| app\logged-in\User\food                                                                                                                                                                         |         38 |        932 |         11 |        185 |      1,128 |
| app\logged-in\User\food (Files)                                                                                                                                                                 |         10 |        120 |         11 |         32 |        163 |
| app\logged-in\User\food\food-days                                                                                                                                                               |          4 |        134 |          0 |         32 |        166 |
| app\logged-in\User\food\food-record-list                                                                                                                                                        |         20 |        651 |          0 |        110 |        761 |
| app\logged-in\User\food\food-record-list (Files)                                                                                                                                                |          4 |         60 |          0 |         15 |         75 |
| app\logged-in\User\food\food-record-list-start                                                                                                                                                  |          4 |         27 |          0 |         11 |         38 |
| app\logged-in\User\food\food-record-list\food-record                                                                                                                                            |         16 |        591 |          0 |         95 |        686 |
| app\logged-in\User\food\food-record-list\food-record (Files)                                                                                                                                    |          4 |        261 |          0 |         30 |        291 |
| app\logged-in\User\food\food-record-list\food-record\food-record-create-dialog                                                                                                                  |          4 |        257 |          0 |         42 |        299 |
| app\logged-in\User\food\food-record-list\food-record\food-record-delete-dialog                                                                                                                  |          4 |         46 |          0 |         12 |         58 |
| app\logged-in\User\food\food-record-list\food-record\food-record-update-dialog                                                                                                                  |          4 |         27 |          0 |         11 |         38 |
| app\logged-in\User\glucose                                                                                                                                                                      |         48 |        796 |         31 |        186 |      1,013 |
| app\logged-in\User\glucose (Files)                                                                                                                                                              |         12 |        129 |         11 |         38 |        178 |
| app\logged-in\User\glucose\glucose-analysis                                                                                                                                                     |          8 |        139 |          3 |         31 |        173 |
| app\logged-in\User\glucose\glucose-days                                                                                                                                                         |          4 |        133 |          0 |         32 |        165 |
| app\logged-in\User\glucose\glucose-record-list                                                                                                                                                  |         20 |        360 |         17 |         75 |        452 |
| app\logged-in\User\glucose\glucose-record-list (Files)                                                                                                                                          |          4 |         61 |          0 |         15 |         76 |
| app\logged-in\User\glucose\glucose-record-list-start                                                                                                                                            |          4 |         35 |          0 |         10 |         45 |
| app\logged-in\User\glucose\glucose-record-list\glucose-record                                                                                                                                   |         16 |        299 |         17 |         60 |        376 |
| app\logged-in\User\glucose\glucose-record-list\glucose-record (Files)                                                                                                                           |          4 |        119 |         17 |         24 |        160 |
| app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-create-dialog                                                                                                      |          4 |         68 |          0 |         12 |         80 |
| app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-delete-dialog                                                                                                      |          4 |         46 |          0 |         12 |         58 |
| app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-update-dialog                                                                                                      |          4 |         66 |          0 |         12 |         78 |
| app\logged-in\User\mails                                                                                                                                                                        |         28 |        491 |          3 |        102 |        596 |
| app\logged-in\User\mails (Files)                                                                                                                                                                |          8 |         74 |          0 |         19 |         93 |
| app\logged-in\User\mails\mail-list                                                                                                                                                              |         20 |        417 |          3 |         83 |        503 |
| app\logged-in\User\mails\mail-list (Files)                                                                                                                                                      |          4 |        150 |          0 |         31 |        181 |
| app\logged-in\User\mails\mail-list\mail                                                                                                                                                         |         16 |        267 |          3 |         52 |        322 |
